,id,trd_latest,over_trd_latest_mean
128,U010CC7,51,0
129,U010CF4,60,1
130,U011F6D,51,0
131,U012721,58,1
132,U0128C1,56,1
133,U012E18,60,1
134,U012F51,53,1
135,U013055,60,1
136,U0130A8,60,1
137,U01339D,51,0
138,U013B04,59,1
139,U013B4D,20,0
140,U013F65,56,1
141,U014103,52,1
142,U0144EC,60,1
143,U014ABE,59,1
144,U014B58,51,0
145,U014C29,56,1
146,U014EAE,57,1
147,U0154AF,56,1
148,U01569B,35,0
149,U015753,56,1
150,U0159DD,60,1
151,U015AB6,54,1
152,U015C2E,31,0
153,U015DD5,31,0
154,U0162CF,59,1
155,U016B62,60,1
156,U016D6D,51,0
157,U017068,59,1
158,U0171C4,42,0
159,U0171E3,52,1
160,U01725C,59,1
161,U01757B,57,1
162,U017769,56,1
163,U01794A,31,0
164,U017964,3,0
165,U0179B1,59,1
166,U017AF1,51,0
167,U017C90,60,1
168,U017D93,20,0
169,U0185AB,57,1
170,U0189F0,9,0
171,U018AD7,60,1
172,U018EEE,60,1
173,U018F52,57,1
174,U019036,51,0
175,U0190A7,52,1
176,U01926E,50,0
177,U019347,54,1
178,U019433,57,1
179,U01961D,55,1
180,U019714,60,1
181,U01979F,51,0
182,U019952,59,1
183,U019B42,51,0
184,U019BBE,60,1
185,U019DFE,60,1
186,U019E07,36,0
187,U01A432,57,1
188,U01A475,60,1
189,U01A5DC,59,1
190,U01A9D1,51,0
191,U01AD29,60,1
192,U01AEE1,37,0
193,U01AF55,59,1
194,U01B089,60,1
195,U01B111,60,1
196,U01B19E,56,1
197,U01B45A,59,1
198,U01B783,5,0
199,U01B860,58,1
200,U01BAA0,60,1
201,U01BD4C,57,1
202,U01BE1C,51,0
203,U01BE43,59,1
204,U01BF1B,8,0
205,U01C5BD,51,0
206,U01C5F5,51,0
207,U01C71F,21,0
208,U01CADC,57,1
209,U01CB07,56,1
210,U01D25B,59,1
211,U01D3EB,51,0
212,U01D401,60,1
213,U01D76E,54,1
214,U01D8C9,60,1
215,U01DCBA,6,0
216,U01DD02,56,1
217,U01E22F,47,0
218,U01E559,59,1
219,U01ECE0,58,1
220,U01ED18,60,1
221,U01ED97,60,1
222,U01EDE1,55,1
223,U01EE63,60,1
224,U01F051,60,1
225,U01F42E,60,1
226,U01F4F9,58,1
227,U01F595,7,0
228,U01F951,51,0
229,U01FCA0,60,1
230,U01FEE9,54,1
231,U01FFBB,53,1
232,U020123,58,1
233,U02047D,31,0
234,U02058B,58,1
235,U0205D7,60,1
236,U0206EA,60,1
237,U0206FB,59,1
238,U020E2E,60,1
239,U021499,58,1
240,U021599,60,1
241,U021D43,52,1
242,U02213D,46,0
243,U0228B7,60,1
244,U022CB4,60,1
245,U022E7B,60,1
246,U022F57,50,0
247,U0230CD,59,1
248,U02318C,31,0
249,U0235C4,60,1
250,U0236AC,60,1
251,U023831,58,1
252,U023AA7,60,1
253,U023E23,60,1
254,U02440D,60,1
255,U0245D3,59,1
256,U024694,56,1
257,U0248E8,38,0
258,U024A3A,54,1
259,U024A57,26,0
260,U024BF0,35,0
261,U024EFB,51,0
262,U025283,38,0
263,U02529D,55,1
264,U0253CB,51,0
265,U02546A,54,1
266,U0256AC,60,1
267,U025BFF,57,1
268,U025D1E,51,0
269,U025E03,58,1
270,U0261F8,58,1
271,U0262C3,10,0
272,U026461,16,0
273,U026894,35,0
274,U02696D,51,0
275,U026A62,54,1
276,U026AFB,58,1
277,U026BA8,51,0
278,U026C6C,54,1
279,U026E9F,60,1
280,U0270E0,59,1
281,U0273B6,60,1
282,U0273C6,60,1
283,U0274DB,60,1
284,U0274E7,12,0
285,U027613,50,0
286,U027679,51,0
287,U027930,59,1
288,U028316,55,1
289,U02848C,59,1
290,U028713,60,1
291,U02879E,52,1
292,U02889D,6,0
293,U028975,60,1
294,U02919C,43,0
295,U029649,2,0
296,U029937,60,1
297,U029A2D,27,0
298,U029A69,55,1
299,U029C1A,39,0
300,U02A0A8,45,0
301,U02A411,60,1
302,U02A4BD,59,1
303,U02A588,40,0
304,U02A7D0,60,1
305,U02A901,51,0
306,U02AA09,55,1
307,U02AE9D,51,0
308,U02B161,31,0
309,U02B635,59,1
310,U02B893,18,0
311,U02BB5D,57,1
312,U02C0B6,58,1
313,U02C349,57,1
314,U02C3BF,58,1
315,U02C45F,51,0
316,U02C6BE,43,0
317,U02C7A0,59,1
318,U02C7DC,11,0
319,U02C898,13,0
320,U02C96A,36,0
321,U02CD68,60,1
322,U02CDE9,60,1
323,U02CF0A,57,1
324,U02D103,52,1
325,U02D114,53,1
326,U02D1F5,57,1
327,U02D27F,53,1
328,U02D482,34,0
329,U02D539,51,0
330,U02D933,54,1
331,U02DC1F,36,0
332,U02E193,60,1
333,U02E27A,56,1
334,U02E38D,37,0
335,U02E456,59,1
336,U02E77B,57,1
337,U02EB09,58,1
338,U02EF54,51,0
339,U02F111,59,1
340,U02F1CC,41,0
341,U02F2B0,60,1
342,U02F304,10,0
343,U02F5DD,59,1
344,U02F64D,56,1
345,U02F806,60,1
346,U02F857,59,1
347,U02FA34,53,1
348,U02FCAD,51,0
349,U0306B8,57,1
350,U0308AA,50,0
351,U030933,57,1
352,U030EA7,60,1
353,U030F0D,45,0
354,U031055,59,1
355,U031075,55,1
356,U03111F,51,0
357,U031735,58,1
358,U0317DE,60,1
359,U0317F0,60,1
360,U031A74,55,1
361,U031DD2,52,1
362,U031EC4,58,1
363,U03218D,58,1
364,U0321CE,60,1
365,U0322ED,60,1
366,U032312,27,0
367,U0323B7,60,1
368,U03292F,60,1
369,U03295A,55,1
370,U032AFE,60,1
371,U032C10,59,1
372,U032D13,56,1
373,U032DA7,59,1
374,U032F90,55,1
375,U0332CE,52,1
376,U033946,57,1
377,U03395A,60,1
378,U033A50,53,1
379,U033D5E,52,1
380,U034164,60,1
381,U034230,55,1
382,U03469A,51,0
383,U0347E0,55,1
384,U034970,60,1
385,U034A9F,60,1
386,U034B31,51,0
387,U034C3E,53,1
388,U034C73,59,1
389,U034E7E,59,1
390,U035076,51,0
391,U035943,57,1
392,U0359F9,60,1
393,U035C16,35,0
394,U035CC8,58,1
395,U035D2C,60,1
396,U0360AE,33,0
397,U0362E0,60,1
398,U036517,59,1
399,U036735,55,1
400,U036847,51,0
401,U036ACD,60,1
402,U037176,52,1
403,U03762E,40,0
404,U037985,57,1
405,U037A63,24,0
406,U037B6F,51,0
407,U037B7B,60,1
408,U037D91,60,1
409,U037DA1,58,1
410,U03855F,59,1
411,U038650,39,0
412,U038C5B,60,1
413,U038FBE,58,1
414,U039107,57,1
415,U039905,44,0
416,U039D19,31,0
417,U039F2D,53,1
418,U039F78,35,0
419,U03A007,44,0
420,U03A10C,31,0
421,U03A525,60,1
422,U03A66A,59,1
423,U03A6DE,60,1
424,U03A870,58,1
425,U03A9F9,51,0
426,U03AA8B,52,1
427,U03AE61,57,1
428,U03AEA2,51,0
429,U03AF56,58,1
430,U03AFEF,53,1
431,U03B4DE,58,1
432,U03B804,60,1
433,U03BAC7,48,0
434,U03BB88,60,1
435,U03BC22,55,1
436,U03BDFA,51,0
437,U03BEE0,60,1
438,U03C893,40,0
439,U03C976,58,1
440,U03CB47,43,0
441,U03CC81,45,0
442,U03CCC7,54,1
443,U03CD0C,60,1
444,U03CE2A,60,1
445,U03D801,56,1
446,U03D92B,50,0
447,U03DB13,58,1
448,U03E08E,21,0
449,U03E312,41,0
450,U03E4D8,54,1
451,U03E9C7,59,1
452,U03EA6A,58,1
453,U03EC53,22,0
454,U03ECEB,39,0
455,U03EE22,60,1
456,U03F32B,54,1
457,U03F4B9,60,1
458,U03F557,53,1
459,U03F9D2,51,0
460,U03FB27,58,1
461,U03FB38,1,0
462,U03FDEF,57,1
463,U04000D,43,0
464,U0401BA,56,1
465,U040865,60,1
466,U04098B,51,0
467,U040BAE,45,0
468,U040DF4,58,1
469,U040ED0,51,0
470,U040EF3,60,1
471,U040F17,59,1
472,U040FB1,60,1
473,U041166,49,0
474,U041223,60,1
475,U04151D,52,1
476,U04160D,59,1
477,U04164E,54,1
478,U0416FF,59,1
479,U041799,58,1
480,U041801,57,1
481,U04182A,28,0
482,U041FA2,51,0
483,U0423FC,51,0
484,U0424B6,60,1
485,U0425B8,58,1
486,U0429F9,55,1
487,U042AC4,60,1
488,U04303E,13,0
489,U04320F,59,1
490,U0432E8,55,1
491,U043502,51,0
492,U04353F,33,0
493,U04361F,54,1
494,U043686,60,1
495,U0436C4,42,0
496,U043AB3,51,0
497,U043CFB,51,0
498,U043D99,57,1
499,U04409A,60,1
500,U044646,53,1
501,U0447BA,51,0
502,U0447E3,37,0
503,U044916,60,1
504,U044BC9,60,1
505,U044D35,60,1
506,U044D80,51,0
507,U044DB9,52,1
508,U0453CB,60,1
509,U04568B,51,0
510,U04589C,57,1
511,U0458A3,31,0
512,U045ABC,51,0
513,U045C7E,47,0
514,U04648D,43,0
515,U046575,39,0
516,U046773,51,0
517,U046916,60,1
518,U04696B,51,0
519,U046976,60,1
520,U0469CA,60,1
521,U046C40,56,1
522,U046D98,57,1
523,U046DA4,51,0
524,U046EFD,51,0
525,U047295,51,0
526,U04740A,56,1
527,U0475C4,60,1
528,U047661,58,1
529,U0476D0,60,1
530,U04775A,57,1
531,U04779B,56,1
532,U04781C,60,1
533,U04798B,56,1
534,U047CF6,60,1
535,U047DB5,51,0
536,U048023,60,1
537,U0484A1,51,0
538,U048700,60,1
539,U048B9B,58,1
540,U048F0B,49,0
541,U0490BA,51,0
542,U0492A5,60,1
543,U04971E,42,0
544,U049848,51,0
545,U049949,53,1
546,U049951,47,0
547,U049B86,55,1
548,U049C4E,57,1
549,U04A089,56,1
550,U04A172,45,0
551,U04A32E,37,0
552,U04A3AB,51,0
553,U04A3B2,60,1
554,U04A3DB,57,1
555,U04A54B,52,1
556,U04A776,60,1
557,U04ADA3,60,1
558,U04B1FB,59,1
559,U04B5C2,56,1
560,U04B5FE,59,1
561,U04BD9F,59,1
562,U04C294,57,1
563,U04C368,59,1
564,U04C54A,51,0
565,U04CA89,59,1
566,U04CC34,56,1
567,U04D24F,11,0
568,U04D7C5,57,1
569,U04DCF9,57,1
570,U04DD01,59,1
571,U04DDDA,27,0
572,U04DEAE,51,0
573,U04E490,55,1
574,U04E94C,0,0
575,U04E968,60,1
576,U04EC2C,6,0
577,U04F033,51,0
578,U04F1B8,50,0
579,U04F205,50,0
580,U04F71D,57,1
581,U04F877,47,0
582,U04F87B,31,0
583,U04F8FD,58,1
584,U04FCF1,56,1
585,U04FCF8,18,0
586,U050024,57,1
587,U0504F3,51,0
588,U0507C1,50,0
589,U050C1B,28,0
590,U050D08,51,0
591,U050D50,58,1
592,U051240,58,1
593,U0512B0,17,0
594,U05151F,56,1
595,U05183D,49,0
596,U051B04,55,1
597,U051B52,51,0
598,U051BB1,59,1
599,U051CBE,60,1
600,U051E84,60,1
601,U0520CA,59,1
602,U052284,58,1
603,U052721,60,1
604,U052DA3,51,0
605,U052E32,57,1
606,U053508,39,0
607,U05351E,60,1
608,U05364A,60,1
609,U053AF9,59,1
610,U053BCA,59,1
611,U053C28,60,1
612,U053EA9,58,1
613,U0540A1,60,1
614,U0545E7,39,0
615,U054A16,51,0
616,U054AB1,59,1
617,U054D5E,55,1
618,U054E1C,35,0
619,U055341,60,1
620,U0554F6,58,1
621,U055873,42,0
622,U0558A3,51,0
623,U055A92,10,0
624,U055E9D,45,0
625,U0566F2,60,1
626,U0567DB,51,0
627,U056D44,59,1
628,U056D51,56,1
629,U056DFD,51,0
630,U056EAE,59,1
631,U057419,60,1
632,U057979,60,1
633,U057DBA,58,1
634,U0583AD,47,0
635,U05843C,57,1
636,U058451,52,1
637,U058473,58,1
638,U058611,60,1
639,U058703,60,1
640,U058704,60,1
641,U0587CF,60,1
642,U058C5D,50,0
643,U0592A9,44,0
644,U059A81,60,1
645,U059AB2,58,1
646,U059BD6,59,1
647,U059EBE,51,0
648,U05A8DB,50,0
649,U05A9F7,60,1
650,U05AB56,60,1
651,U05AC02,59,1
652,U05ACF1,47,0
653,U05AE05,60,1
654,U05B102,59,1
655,U05B3D3,60,1
656,U05BA64,54,1
657,U05BD16,56,1
658,U05BDBE,53,1
659,U05BEB9,56,1
660,U05BF9B,60,1
661,U05C0FA,41,0
662,U05C1D2,51,0
663,U05C6F3,59,1
664,U05C82B,60,1
665,U05C8DA,49,0
666,U05C8FF,60,1
667,U05CA3C,52,1
668,U05CA41,60,1
669,U05CB0E,59,1
670,U05CF16,60,1
671,U05D3CE,51,0
672,U05D4CB,54,1
673,U05D8EB,57,1
674,U05DB40,51,0
675,U05DB42,59,1
676,U05DCB8,51,0
677,U05DCF3,35,0
678,U05DF33,10,0
679,U05E71D,58,1
680,U05E93D,57,1
681,U05F49D,54,1
682,U05F4EC,58,1
683,U05F749,44,0
684,U05F914,24,0
685,U05FAF1,59,1
686,U05FBE8,51,0
687,U05FC02,54,1
688,U05FCE0,57,1
689,U05FF30,60,1
690,U05FFB6,52,1
691,U0604A3,60,1
692,U0607BB,54,1
693,U060976,50,0
694,U0609E0,60,1
695,U060BA1,60,1
696,U060C15,54,1
697,U060DDE,59,1
698,U06156F,54,1
699,U06170D,60,1
700,U061775,57,1
701,U061966,60,1
702,U0619C1,60,1
703,U061D67,51,0
704,U061D98,28,0
705,U061FA5,60,1
706,U062121,9,0
707,U062415,52,1
708,U062D41,59,1
709,U062E5A,51,0
710,U062FC1,60,1
711,U0635D6,45,0
712,U063674,4,0
713,U06373F,56,1
714,U063775,28,0
715,U0637B5,51,0
716,U063903,51,0
717,U063AE7,51,0
718,U063C35,60,1
719,U063D10,47,0
720,U063DFE,56,1
721,U06406D,52,1
722,U0640D7,37,0
723,U0641A1,51,0
724,U0643E4,20,0
725,U06443D,60,1
726,U064CB9,60,1
727,U06516D,31,0
728,U0652B6,60,1
729,U065698,7,0
730,U06570E,60,1
731,U0658EC,52,1
732,U0659BD,58,1
733,U065A5D,10,0
734,U065AC0,59,1
735,U066093,57,1
736,U0660EE,60,1
737,U0662B2,25,0
738,U0662E7,53,1
739,U06665A,60,1
740,U06676E,58,1
741,U066934,36,0
742,U0669CE,59,1
743,U066B3A,60,1
744,U066BBA,48,0
745,U066C7C,59,1
746,U066D42,29,0
747,U0672F0,36,0
748,U067379,51,0
749,U06751C,54,1
750,U0676FD,59,1
751,U067DB9,53,1
752,U06803E,60,1
753,U068150,60,1
754,U0686B3,42,0
755,U0686EE,58,1
756,U068947,30,0
757,U0689EE,57,1
758,U068B44,60,1
759,U0690E0,59,1
760,U0697EA,31,0
761,U069892,60,1
762,U069B0C,51,0
763,U069DB8,47,0
764,U069F63,39,0
765,U06A0C2,47,0
766,U06A37D,52,1
767,U06AD9D,54,1
768,U06AE8B,59,1
769,U06AF3B,60,1
770,U06B0F0,51,0
771,U06B462,51,0
772,U06B4FB,56,1
773,U06B85E,59,1
774,U06B8E8,60,1
775,U06B9CC,51,0
776,U06BEDE,51,0
777,U06C2E5,52,1
778,U06C304,60,1
779,U06C350,57,1
780,U06C515,52,1
781,U06C9F6,56,1
782,U06CE76,58,1
783,U06CEC3,58,1
784,U06D15D,56,1
785,U06D1FA,44,0
786,U06D24F,60,1
787,U06D476,51,0
788,U06D47F,54,1
789,U06D4F2,55,1
790,U06D51F,54,1
791,U06D870,58,1
792,U06D8B7,56,1
793,U06DAF4,60,1
794,U06DC1A,51,0
795,U06DC45,20,0
796,U06DFD3,57,1
797,U06E014,54,1
798,U06E12B,59,1
799,U06E162,51,0
800,U06E551,54,1
801,U06E836,18,0
802,U06EA59,59,1
803,U06EE43,51,0
804,U06EEA9,51,0
805,U06F1A6,59,1
806,U06F223,31,0
807,U06F8B5,51,0
808,U06FB59,59,1
809,U06FC45,56,1
810,U06FFE7,43,0
811,U0700BC,60,1
812,U070183,51,0
813,U07028B,60,1
814,U07087B,40,0
815,U07093D,47,0
816,U070AAB,60,1
817,U0712C1,60,1
818,U071374,60,1
819,U0714DF,60,1
820,U0717AC,51,0
821,U071B62,52,1
822,U071D14,60,1
823,U0722A7,59,1
824,U0722F0,60,1
825,U0723F2,51,0
826,U072826,57,1
827,U072A79,59,1
828,U072CB1,52,1
829,U072D93,60,1
830,U072F10,56,1
831,U073588,5,0
832,U07361E,50,0
833,U073674,60,1
834,U0736B0,54,1
835,U0736E3,59,1
836,U07392D,49,0
837,U073B0B,31,0
838,U073E35,54,1
839,U074021,60,1
840,U0740A6,47,0
841,U07413E,51,0
842,U074218,49,0
843,U074295,51,0
844,U0743B0,52,1
845,U0744FA,57,1
846,U074683,59,1
847,U074898,51,0
848,U0749E0,60,1
849,U074A1F,54,1
850,U074D21,51,0
851,U075185,56,1
852,U075276,40,0
853,U075826,51,0
854,U075B9A,60,1
855,U075BA7,48,0
856,U075BE0,60,1
857,U076135,60,1
858,U0763BF,53,1
859,U076762,47,0
860,U076843,59,1
861,U076A89,59,1
862,U076B3D,60,1
863,U076E80,51,0
864,U076F30,54,1
865,U07742A,54,1
866,U0775D4,55,1
867,U0776F4,40,0
868,U077884,55,1
869,U07789A,60,1
870,U077F89,51,0
871,U077F8F,51,0
872,U07826E,60,1
873,U0782A3,57,1
874,U0784AF,60,1
875,U078859,60,1
876,U0789C0,59,1
877,U078A09,51,0
878,U078B91,59,1
879,U078FE3,51,0
880,U079102,60,1
881,U079163,56,1
882,U0795A2,37,0
883,U07967E,58,1
884,U079875,39,0
885,U079B6E,46,0
886,U079E0F,59,1
887,U079E61,55,1
888,U079EC1,59,1
889,U079F52,54,1
890,U079F5A,57,1
891,U079FF4,58,1
892,U07A27D,58,1
893,U07A3EC,52,1
894,U07A78E,59,1
895,U07A7C7,60,1
896,U07A820,59,1
897,U07A84C,58,1
898,U07A99B,52,1
899,U07AEA1,60,1
900,U07AEC8,58,1
901,U07B6E8,60,1
902,U07B73C,60,1
903,U07BBC5,2,0
904,U07BCA4,59,1
905,U07BCE5,57,1
906,U07BD90,42,0
907,U07BDFE,51,0
908,U07C289,9,0
909,U07C3EA,51,0
910,U07C608,60,1
911,U07C735,55,1
912,U07C831,49,0
913,U07CAB3,60,1
914,U07CE76,58,1
915,U07CF2E,51,0
916,U07D2B7,42,0
917,U07D428,55,1
918,U07D6E0,60,1
919,U07D74B,3,0
920,U07DED4,54,1
921,U07E066,58,1
922,U07E3F0,51,0
923,U07E542,47,0
924,U07E767,60,1
925,U07E8E9,55,1
926,U07EB1C,51,0
927,U07EF84,56,1
928,U07EFFD,57,1
929,U07F215,59,1
930,U07F67E,58,1
931,U07F7D8,51,0
932,U07FB78,60,1
933,U07FC5B,60,1
934,U07FD84,55,1
935,U07FFB2,56,1
936,U08044D,51,0
937,U0807D0,60,1
938,U080CCF,51,0
939,U080D70,60,1
940,U080FDF,56,1
941,U0813F8,51,0
942,U081420,31,0
943,U081912,54,1
944,U081A70,31,0
945,U081BAF,51,0
946,U081D07,60,1
947,U081E58,51,0
948,U0820F4,48,0
949,U0822A5,33,0
950,U082660,54,1
951,U0826E6,57,1
952,U082745,60,1
953,U082D0E,50,0
954,U083491,60,1
955,U083707,60,1
956,U083767,11,0
957,U083835,51,0
958,U083B4D,59,1
959,U083C1D,27,0
960,U083C1E,51,0
961,U084136,60,1
962,U0841E1,60,1
963,U0844BB,59,1
964,U084538,56,1
965,U084A85,59,1
966,U084AD0,31,0
967,U085015,54,1
968,U08538E,60,1
969,U085477,58,1
970,U0856CF,60,1
971,U0858D8,58,1
972,U08591C,60,1
973,U08595E,51,0
974,U085A21,60,1
975,U08600F,53,1
976,U0861E6,60,1
977,U0862C0,60,1
978,U0864BA,55,1
979,U086787,59,1
980,U086883,55,1
981,U086D18,51,0
982,U086E93,60,1
983,U087125,51,0
984,U087365,55,1
985,U08777F,55,1
986,U0877F5,53,1
987,U087861,60,1
988,U0878AC,55,1
989,U087A74,41,0
990,U087F91,57,1
991,U0882F2,51,0
992,U08832E,60,1
993,U0883BB,60,1
994,U08840D,46,0
995,U0884F2,11,0
996,U08857D,60,1
997,U088642,51,0
998,U0886C0,58,1
999,U0887E6,60,1
1000,U08888B,56,1
1001,U088948,60,1
1002,U08950A,60,1
1003,U08961C,27,0
1004,U089724,57,1
1005,U089ADD,59,1
1006,U089C85,54,1
1007,U089CA7,51,0
1008,U089D0F,54,1
1009,U08A1E7,59,1
1010,U08A20F,33,0
1011,U08A45D,60,1
1012,U08A50D,60,1
1013,U08A71A,42,0
1014,U08A7AD,59,1
1015,U08A7BD,59,1
1016,U08AC24,56,1
1017,U08AEE1,4,0
1018,U08B135,51,0
1019,U08B42E,59,1
1020,U08B60F,57,1
1021,U08B929,59,1
1022,U08BD69,58,1
1023,U08BDA6,56,1
1024,U08BEC7,51,0
1025,U08C0DD,46,0
1026,U08C0F8,51,0
1027,U08C222,60,1
1028,U08C3BE,9,0
1029,U08C5BD,48,0
1030,U08C802,52,1
1031,U08CB10,60,1
1032,U08CB16,60,1
1033,U08D0C3,57,1
1034,U08D1BC,59,1
1035,U08D281,60,1
1036,U08D308,53,1
1037,U08DC00,58,1
1038,U08DC06,55,1
1039,U08E053,60,1
1040,U08E13E,57,1
1041,U08E202,56,1
1042,U08E261,55,1
1043,U08E335,59,1
1044,U08E47B,51,0
1045,U08E5C7,60,1
1046,U08E632,59,1
1047,U08E883,58,1
1048,U08EAFB,59,1
1049,U08EE66,56,1
1050,U08EE7E,59,1
1051,U08EEEE,52,1
1052,U08F083,60,1
1053,U08F114,60,1
1054,U08F13A,59,1
1055,U08F519,59,1
1056,U08F53E,59,1
1057,U08F55C,58,1
1058,U08F5E9,60,1
1059,U08F700,57,1
1060,U08F834,60,1
1061,U08FAB9,58,1
1062,U08FFD5,60,1
1063,U090233,60,1
1064,U09047E,60,1
1065,U0907D4,41,0
1066,U09092F,56,1
1067,U09096C,59,1
1068,U090C9A,56,1
1069,U09128B,51,0
1070,U0915D0,51,0
1071,U0919CC,24,0
1072,U0919DB,60,1
1073,U091FE6,35,0
1074,U0921C3,5,0
1075,U09240B,60,1
1076,U092434,40,0
1077,U092A01,44,0
1078,U092C72,59,1
1079,U092DDF,60,1
1080,U093035,43,0
1081,U0930A7,58,1
1082,U0930EF,50,0
1083,U0935FF,21,0
1084,U09394F,59,1
1085,U093A46,60,1
1086,U093C86,60,1
1087,U09412C,59,1
1088,U0942AA,54,1
1089,U094539,60,1
1090,U0945DD,51,0
1091,U0949DF,60,1
1092,U094A5E,59,1
1093,U094B98,58,1
1094,U094E3C,59,1
1095,U09514C,37,0
1096,U095459,57,1
1097,U09585C,31,0
1098,U095881,54,1
1099,U095C9D,51,0
1100,U095FC0,51,0
1101,U09612A,60,1
1102,U096193,59,1
1103,U09659B,59,1
1104,U096650,56,1
1105,U096A17,60,1
1106,U096E6E,59,1
1107,U097316,13,0
1108,U097353,59,1
1109,U0973D6,53,1
1110,U097715,40,0
1111,U097750,51,0
1112,U097904,48,0
1113,U097EEF,57,1
1114,U097FB1,60,1
1115,U098032,60,1
1116,U0983F0,49,0
1117,U098677,60,1
1118,U098843,56,1
1119,U098880,31,0
1120,U098901,42,0
1121,U0989E5,15,0
1122,U098B7F,57,1
1123,U098BA0,60,1
1124,U098CAA,0,0
1125,U098ED6,59,1
1126,U098F90,58,1
1127,U0990EA,25,0
1128,U0991BE,51,0
1129,U099434,50,0
1130,U099A6F,60,1
1131,U099B33,31,0
1132,U099C8C,56,1
1133,U099E68,59,1
1134,U09A4A9,40,0
1135,U09A81E,27,0
1136,U09A963,48,0
1137,U09A9D0,60,1
1138,U09ABCD,44,0
1139,U09B020,60,1
1140,U09B9E7,60,1
1141,U09BBC9,60,1
1142,U09BC96,59,1
1143,U09BEF9,49,0
1144,U09C21F,60,1
1145,U09C2B9,60,1
1146,U09CB11,60,1
1147,U09D0D4,57,1
1148,U09D14D,54,1
1149,U09D1AC,46,0
1150,U09D4C3,60,1
1151,U09DA59,59,1
1152,U09DF12,27,0
1153,U09E279,54,1
1154,U09E95A,58,1
1155,U09F173,51,0
1156,U09F20A,51,0
1157,U09F44B,60,1
1158,U09FBBC,50,0
1159,U09FF84,60,1
1160,U0A0269,58,1
1161,U0A05AB,56,1
1162,U0A05C6,53,1
1163,U0A0722,59,1
1164,U0A074F,54,1
1165,U0A0EB7,58,1
1166,U0A0FB7,48,0
1167,U0A0FD7,42,0
1168,U0A0FEA,59,1
1169,U0A101B,60,1
1170,U0A1356,15,0
1171,U0A161B,58,1
1172,U0A1A27,60,1
1173,U0A1C12,20,0
1174,U0A1C43,56,1
1175,U0A20A8,5,0
1176,U0A227C,60,1
1177,U0A22FD,59,1
1178,U0A2684,33,0
1179,U0A2A38,59,1
1180,U0A2BA4,58,1
1181,U0A2DA3,59,1
1182,U0A2DB3,51,0
1183,U0A2E12,51,0
1184,U0A3088,60,1
